INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3793181345
INFO: Loaded 1 modules   (4141 inline 8-bit counters): 4141 [0x618a23425220, 0x618a2342624d), 
INFO: Loaded 1 PC tables (4141 PCs): 4141 [0x618a23426250,0x618a23436520), 
INFO: 5530 Extra Counters
#40716	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 40716 rss: 31Mb L: 88/4060 MS: 3 ChangeBit-ChangeBinInt-EraseBytes-
#41152	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 41152 rss: 31Mb L: 136/4060 MS: 1 EraseBytes-
#41363	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 41363 rss: 31Mb L: 8/4060 MS: 1 EraseBytes-
#41851	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 41851 rss: 31Mb L: 553/4060 MS: 3 InsertByte-ChangeByte-EraseBytes-
#43467	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 43467 rss: 31Mb L: 72/4060 MS: 1 EraseBytes-
#44669	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 44669 rss: 31Mb L: 2/4060 MS: 2 ChangeByte-EraseBytes-
#44690	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 44690 rss: 31Mb L: 23/4060 MS: 1 EraseBytes-
#44728	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 44728 rss: 31Mb L: 94/4060 MS: 3 ChangeBinInt-ChangeByte-EraseBytes-
#45624	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 45624 rss: 31Mb L: 5/4060 MS: 1 EraseBytes-
#46350	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 46350 rss: 31Mb L: 25/4060 MS: 1 EraseBytes-
#47621	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 47621 rss: 31Mb L: 266/4060 MS: 1 EraseBytes-
#50252	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 50252 rss: 31Mb L: 144/4060 MS: 1 EraseBytes-
#52474	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 52474 rss: 31Mb L: 1759/4060 MS: 2 ChangeBit-EraseBytes-
#53746	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 26873 rss: 31Mb L: 761/4060 MS: 2 EraseBytes-CopyPart-
#54842	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 27421 rss: 31Mb L: 66/4060 MS: 1 EraseBytes-
